meio,uf,regiao,veiculos_mapeados,vei100milh,pais,POP,IDHM,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,RDPC
Televisão,MG,Sudeste,623,3.19961296495499,Brasil,19471105.0,0.731,0.514,0.638,0.838,0.73,749.69
Televisão,SP,Sudeste,356,0.8694780784427,Brasil,40944103.0,0.783,0.629,0.719,0.845,0.789,1084.46
Televisão,RS,Sul,203,1.91179000898541,Brasil,10618321.0,0.746,0.563,0.642,0.84,0.769,959.24
Televisão,SC,Sul,177,2.84964546063553,Brasil,6211299.0,0.774,0.589,0.697,0.86,0.773,983.9
Televisão,PR,Sul,157,1.51255395699048,Brasil,10379795.0,0.749,0.555,0.668,0.83,0.757,890.89
Televisão,BA,Nordeste,146,1.04787060491847,Brasil,13933018.0,0.66,0.461,0.555,0.783,0.663,496.73
Televisão,GO,Centro-Oeste,129,2.16354305836434,Brasil,5962442.0,0.735,0.55,0.646,0.827,0.742,810.97
Televisão,MA,Nordeste,114,1.74123346229153,Brasil,6547083.0,0.639,0.444,0.562,0.757,0.612,360.34
Televisão,PA,Norte,110,1.46189368125694,Brasil,7524487.0,0.646,0.474,0.528,0.789,0.646,446.76
Televisão,MT,Centro-Oeste,93,3.09147679846663,Brasil,3008271.0,0.725,0.532,0.635,0.821,0.732,762.52
Televisão,RJ,Sudeste,82,0.515855803204786,Brasil,15895915.0,0.761,0.647,0.675,0.835,0.782,1039.3
Televisão,MS,Centro-Oeste,64,2.64390048028105,Brasil,2420666.0,0.729,0.536,0.629,0.833,0.74,799.34
Televisão,PB,Nordeste,57,1.52214236464015,Brasil,3744722.0,0.658,0.426,0.555,0.783,0.656,474.94
Televisão,ES,Sudeste,57,1.63218415160643,Brasil,3492253.0,0.74,0.552,0.653,0.835,0.743,815.43
Televisão,RN,Nordeste,51,1.61825185012196,Brasil,3151549.0,0.684,0.486,0.597,0.792,0.678,545.42
Televisão,AL,Nordeste,50,1.6168634982394,Brasil,3092407.0,0.631,0.406,0.52,0.755,0.641,432.56
Televisão,CE,Nordeste,42,0.499803589089573,Brasil,8403301.0,0.682,0.488,0.615,0.793,0.651,460.63
Televisão,PE,Nordeste,39,0.445989728970898,Brasil,8744596.0,0.673,0.47,0.574,0.789,0.673,525.64
Televisão,RO,Norte,28,1.80955587682353,Brasil,1547341.0,0.69,0.48,0.577,0.8,0.712,670.82
Televisão,PI,Nordeste,28,0.902426140449092,Brasil,3102747.0,0.646,0.418,0.547,0.777,0.635,416.93
Televisão,TO,Norte,24,1.74694993459856,Brasil,1373823.0,0.699,0.526,0.624,0.793,0.69,586.62
Televisão,DF,Centro-Oeste,23,0.904158421134978,Brasil,2543802.0,0.824,0.723,0.742,0.873,0.863,1715.11
Televisão,AM,Norte,19,0.54900854835205,Brasil,3460784.0,0.674,0.549,0.561,0.805,0.677,539.8
Televisão,AC,Norte,16,2.19593203590349,Brasil,728620.0,0.663,0.488,0.559,0.777,0.671,522.15
Televisão,SE,Nordeste,14,0.681356385891056,Brasil,2054725.0,0.665,0.469,0.56,0.781,0.672,523.53
Televisão,RR,Norte,13,2.91492238458589,Brasil,445981.0,0.707,0.587,0.628,0.809,0.695,605.59
Televisão,AP,Norte,12,1.80677450099147,Brasil,664167.0,0.708,0.618,0.629,0.813,0.694,598.98
